ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
58,228,13,3,2,1403,0,14025.2,0.0976597,0,0,0.0479513,122.081,0.0976597,0,0,0.0479513,123.388,7.201,-4.63584,0,42,12,12,42,12,28,24,12,24,28,0,0,0,0
59,229,13,3,2,1525.4,0,14025.2,0.0976599,0,0,0.0401941,114.272,0.0976598,0,0,0.0401941,104.982,7.39658,-1.76323,0,42,12,13,42,12,29,24,13,24,29,0,0,0,0
60,230,13,3,2,1647.8,0,14025.2,0.0976603,0,0,0.0454875,133.757,0.09766,0,0,0.0454875,147.64,7.32215,14.8781,0,42,12,14,42,12,30,24,14,24,30,0,0,0,0
61,301,13,4,1,-1901.8,0,14741.2,0.0976613,0,0,0.0438829,109.311,0.0976616,0,0,0.0438829,119.747,7.33373,9.9966,0,44,13,15,44,13,31,26,15,26,31,0,0,0,0
62,302,13,4,1,-1779.4,0,14741.2,0.0976622,0,0,0.0400846,137.341,0.0976613,0,0,0.0400846,117.806,7.45265,-1.92025,0,44,13,1,44,13,17,26,1,26,17,0,0,0,0
63,303,13,4,1,-1657,0,14741.2,0.097661,0,0,0.0402235,136.767,0.0976617,0,0,0.0402235,127.678,7.30425,-0.533768,0,44,13,2,44,13,18,26,2,26,18,0,0,0,0
64,304,13,4,1,-1534.6,0,14741.2,0.0976616,0,0,0.0408065,114.735,0.0976615,0,0,0.0408065,102.309,7.35764,5.10513,0,44,13,3,44,13,19,26,3,26,19,0,0,0,0
65,305,13,4,1,-1412.2,0,14741.2,0.0976619,0,0,0.0439881,162.35,0.0976617,0,0,0.0439881,158.553,7.46391,12.4062,0,44,13,4,44,13,20,26,4,26,20,0,0,0,0
66,306,13,4,1,-1289.8,0,14741.2,0.0976619,0,0,0.0430062,135.536,0.0976615,0,0,0.0430062,129.209,7.44843,-1.85269,0,44,13,5,44,13,21,26,5,26,21,0,0,0,0
67,307,13,4,1,-1167.4,0,14741.2,0.0976618,0,0,0.0425706,165.223,0.0976617,0,0,0.0425706,137.912,7.41141,0.994178,0,44,13,6,44,13,22,26,6,26,22,0,0,0,0
68,308,13,4,1,-1045,0,14741.2,0.097662,0,0,0.041366,137.28,0.0976613,0,0,0.041366,106.224,7.33236,3.48419,0,44,13,7,44,13,23,26,7,26,23,0,0,0,0
69,309,13,4,1,-922.6,0,14741.2,0.0976613,0,0,0.0434062,119.713,0.097661,0,0,0.0434062,117.791,7.34571,2.53688,0,44,13,8,44,13,24,26,8,26,24,0,0,0,0
70,310,13,4,1,-800.2,0,14741.2,0.0976616,0,0,0.0399186,116.088,0.097661,0,0,0.0399186,118.344,7.35562,5.73193,0,44,13,9,44,13,25,26,9,26,25,0,0,0,0
71,311,13,4,1,-677.8,0,14741.2,0.0976619,0,0,0.0415271,140.838,0.0976564,0,0,0.0415271,128.601,7.32939,5.82665,0,44,13,10,44,13,26,26,10,26,26,0,0,0,0
72,312,13,4,1,-555.4,0,14741.2,0.0976612,0,0,0.0398406,140.744,0.0976614,0,0,0.0398406,132.47,7.35942,1.88837,0,44,13,11,44,13,27,26,11,26,27,0,0,0,0
73,313,13,4,1,-433,0,14741.2,0.0976614,0,0,0.038773,141.66,0.0976616,0,0,0.038773,91.0538,7.55977,6.07551,0,44,13,12,44,13,28,26,12,26,28,0,0,0,0
74,314,13,4,1,-310.6,0,14741.2,0.0976622,0,0,0.0391771,129.091,0.0976615,0,0,0.0391771,111.008,7.42414,6.88091,0,44,13,13,44,13,29,26,13,26,29,0,0,0,0
75,315,13,4,1,-188.2,0,14741.2,0.0976625,0,0,0.0405735,126.755,0.0976615,0,0,0.0405735,130.677,7.43856,3.18154,0,44,13,14,44,13,30,26,14,26,30,0,0,0,0
76,316,13,4,1,-65.8,0,14741.2,0.0976616,0,0,0.0400851,80.7075,0.0976628,0,0,0.0400851,105.826,7.45618,6.43939,0,44,13,32,44,13,48,27,0,27,16,0,0,0,0
77,317,13,4,1,56.6,0,14741.2,0.097662,0,0,0.0373836,86.1687,0.0976618,0,0,0.0373836,118.669,7.50754,5.97298,0,44,13,33,44,13,49,27,1,27,17,0,0,0,0
78,318,13,4,1,179,0,14741.2,0.0976619,0,0,0.0387239,85.3952,0.097662,0,0,0.0387239,114.835,7.53946,7.59833,0,44,13,34,44,13,50,27,2,27,18,0,0,0,0
79,319,13,4,1,301.4,0,14741.2,0.0976616,0,0,0.0386585,87.4056,0.0976613,0,0,0.0386585,131.346,7.49417,8.46583,0,44,13,35,44,13,51,27,3,27,19,0,0,0,0
80,320,13,4,1,423.8,0,14741.2,0.0976615,0,0,0.0438618,125.85,0.097662,0,0,0.0438618,139.405,7.49987,-9.19591,0,44,13,36,44,13,52,27,4,27,20,0,0,0,0
81,321,13,4,1,546.2,0,14741.2,0.0976617,0,0,0.0382158,107.194,0.0976619,0,0,0.0382158,124.62,7.49089,0.580228,0,44,13,37,44,13,53,27,5,27,21,0,0,0,0
82,322,13,4,1,668.6,0,14741.2,0.0976615,0,0,0.0405401,110.562,0.0976616,0,0,0.0405401,136.125,7.53084,6.62147,0,44,13,38,44,13,54,27,6,27,22,0,0,0,0
83,323,13,4,1,791,0,14741.2,0.0976626,0,0,0.0414435,97.9213,0.0976616,0,0,0.0414435,118.913,7.46215,3.78018,0,44,13,39,44,13,55,27,7,27,23,0,0,0,0
