NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
328,13,2,1,1403,0,14741.2,0.065584,0,41.973,0.0468156,288.979,0.0652237,0,40,0.0505629,262.322,75.8737,66.5151,418.612,15,28,25,28,16,28,26,28,0
329,13,2,1,1525.4,0,14741.2,0.0650795,0,41,0.0499051,173.432,0.0666628,0,40.18,0.0490619,115.058,75.143,50.1327,418.342,15,29,25,29,16,29,26,29,0
330,13,2,1,1647.8,0,14741.2,0.0663353,0,40,0.0478948,271.809,0.0649403,0,40,0.0485329,170.143,76.3945,368.916,418.42,15,30,25,30,16,30,26,30,0
401,13,2,2,-1901.8,0,14871.2,0.0690792,0,40.79,0.0487317,136.514,0.0685467,0,41.09,0.049862,202.067,74.6604,-106.681,418.401,17,0,27,0,18,0,28,0,0
402,13,2,2,-1779.4,0,14871.2,0.0680019,0,41.09,0.0488105,141.879,0.0685863,0,41,0.0473323,184.748,74.219,135.782,418.929,17,1,27,1,18,1,28,1,0
403,13,2,2,-1657,0,14871.2,0.0685709,0,40,0.0469971,115.125,0.0679133,0,40,0.0497758,260.212,74.6684,-169.207,416.686,17,2,27,2,18,2,28,2,0
404,13,2,2,-1534.6,0,14871.2,0.0684179,0,40.09,0.0484717,179.372,0.0679871,0,41,0.0453429,143.208,75.8597,-44.4188,422.929,17,3,27,3,18,3,28,3,0
405,13,2,2,-1412.2,0,14871.2,0.0682301,0,40.073,0.048765,167.807,0.0676407,0,40,0.0490456,179.394,74.1416,-261.787,418.063,17,4,27,4,18,4,28,4,0
406,13,2,2,-1289.8,0,14871.2,0.0688291,0,44,0.0499233,184.665,0.0676913,0,40.1,0.0475586,111.038,74.8327,3.47335,417.375,17,5,27,5,18,5,28,5,0
407,13,2,2,-1167.4,0,14871.2,0.0676754,0,39.79,0.0477777,184.562,0.0682919,0,41.09,0.0503381,221.687,74.7114,-397.296,417.05,17,6,27,6,18,6,28,6,0
408,13,2,2,-1045,0,14871.2,0.0674915,0,41.09,0.0465466,169.504,0.0675508,0,41,0.0497607,197.656,74.3222,242.31,416.138,17,7,27,7,18,7,28,7,0
409,13,2,2,-922.6,0,14871.2,0.067972,0,41,0.0478402,161.321,0.0679941,0,41,0.049913,83.6673,74.8732,73.5426,419.22,17,8,27,8,18,8,28,8,0
410,13,2,2,-800.2,0,14871.2,0.0677245,0,43.383,0.0486858,138.597,0.0689381,0,35.7,0.0503323,150.198,74.2529,-16.9741,419.926,17,9,27,9,18,9,28,9,0
411,13,2,2,-677.8,0,14871.2,0.068804,0,41.7,0.047116,107.993,0.0676948,0,39.79,0.0462054,183.509,74.8435,199.934,420.296,17,10,27,10,18,10,28,10,0
412,13,2,2,-555.4,0,14871.2,0.0693449,0,40.18,0.0461427,140.263,0.0689876,0,40,0.04732,211.924,74.1737,198.773,419.076,17,11,27,11,18,11,28,11,0
413,13,2,2,-433,0,14871.2,0.0687505,0,39.4,0.0501927,268.579,0.0681998,0,40,0.0476746,253.74,74.5346,52.8689,416.783,17,12,27,12,18,12,28,12,0
414,13,2,2,-310.6,0,14871.2,0.0677645,0,41.09,0.049404,163.44,0.0685557,0,41,0.0439577,196.155,74.6157,8.13813,420.411,17,13,27,13,18,13,28,13,0
415,13,2,2,-188.2,0,14871.2,0.0691702,0,40.763,0.0475179,175.41,0.0669512,0,41,0.0493248,204.773,74.6234,162.724,416.791,17,14,27,14,18,14,28,14,0
416,13,2,2,-65.8,0,14871.2,0.068665,0,39.973,0.0497005,172.711,0.0675688,0,41,0.0486953,246.189,74.3801,-695.237,411.563,17,31,27,31,18,31,28,16,0
417,13,2,2,56.6,0,14871.2,0.0682839,0,40.973,0.0507802,140.568,0.0668216,0,40.7,0.0502673,197.85,74.5927,-1037.89,416.335,17,17,27,17,18,17,28,17,0
418,13,2,2,179,0,14871.2,0.0687873,0,40.79,0.0457591,243.428,0.0681465,0,41,0.0481257,198.63,74.4092,-735.233,412.652,17,18,27,18,18,18,28,18,0
419,13,2,2,301.4,0,14871.2,0.067908,0,41.063,0.0487008,102.85,0.0666164,0,40,0.0486438,141.639,74.4998,-590.703,414.724,17,19,27,19,18,19,28,19,0
420,13,2,2,423.8,0,14871.2,0.0680175,0,39.7,0.0472417,102.398,0.067683,0,40,0.0481697,106.385,74.9151,-755.314,415.571,17,20,27,20,18,20,28,20,0
421,13,2,2,546.2,0,14871.2,0.0674928,0,40.373,0.0461004,106.76,0.0664726,0,41,0.0490942,197.313,74.7334,-577.481,416.268,17,21,27,21,18,21,28,21,0
422,13,2,2,668.6,0,14871.2,0.0673927,0,41.063,0.0441764,127.066,0.0689422,0,43.09,0.0462718,189.934,75.0141,-408.739,413.788,17,22,27,22,18,22,28,22,0
423,13,2,2,791,0,14871.2,0.0672475,0,40,0.0456738,145.222,0.0662046,0,41,0.0467974,190.456,74.8249,-942.721,415.79,17,23,27,23,18,23,28,23,0
424,13,2,2,913.4,0,14871.2,0.0693571,0,39.79,0.0474248,206.895,0.0675658,0,40,0.0487402,190.057,75.0403,-426.323,415.873,17,24,27,24,18,24,28,24,0
425,13,2,2,1035.8,0,14871.2,0.0680467,0,40.7,0.0483138,163.559,0.0682863,0,40,0.0484447,165.283,75.6336,-768.043,416.779,17,25,27,25,18,25,28,25,0
426,13,2,2,1158.2,0,14871.2,0.0685919,0,39.7,0.0463125,162.457,0.068375,0,39.1,0.0486228,138.778,74.9486,-780.552,416.799,17,26,27,26,18,26,28,26,0
427,13,2,2,1280.6,0,14871.2,0.0687202,0,40.973,0.0489604,148.531,0.0687883,0,41,0.0488314,147.694,74.3684,-855.754,419.168,17,27,27,27,18,27,28,27,0
428,13,2,2,1403,0,14871.2,0.0697489,0,40.7,0.0469085,136.798,0.0682137,0,41,0.0487414,195.073,75.5782,-623.369,416.27,17,28,27,28,18,28,28,28,0
429,13,2,2,1525.4,0,14871.2,0.0687187,0,40.88,0.0505045,165.001,0.0680231,0,41,0.0458698,99.3905,74.6018,-711.58,420.404,17,29,27,29,18,29,28,29,0
