NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ_SAMURAICenter_to_SCI,Target-SAMURAICenter,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
313,13,2,1,-433,0,10642,4228,14870,0.0649023,0,41.063,0.0509496,279.003,0.0653797,0,41,0.046436,140.203,74.9745,30.6285,-11.52017,15,12,25,12,16,12,26,12,0
314,13,2,1,-310.6,0,10642,4228,14870,0.0659815,0,41,0.05,314.78,0.0655961,0,40,0.0490776,260.259,74.7729,85.2988,-13.361,15,13,25,13,16,13,26,13,0
315,13,2,1,-188.2,0,10642,4228,14870,0.0642983,0,42.09,0.0528682,338.73,0.0654773,0,40,0.0493598,179.429,74.3672,-33.3858,-13.682155,15,14,25,14,16,14,26,14,0
316,13,2,1,-65.8,0,10642,4228,14870,0.0654229,0,39.673,0.0489914,225.107,0.0659313,0,40.7,0.0478862,61.599,74.2689,93.6453,-10.88386,15,16,25,16,16,16,26,16,0
317,13,2,1,56.6,0,10642,4228,14870,0.066573,0,41.063,0.0470852,217.395,0.0668535,0,41,0.0462865,57.7777,74.9641,-77.8557,-9.37721,15,17,25,17,16,17,26,17,0
318,13,2,1,179,0,10642,4228,14870,0.0646403,0,40.7,0.0502191,247.981,0.0652749,0,40,0.045851,70.1325,74.8752,-86.1301,-8.57787,15,18,25,18,16,18,26,18,0
319,13,2,1,301.4,0,10642,4228,14870,0.0653526,0,40.2,0.0489372,194.474,0.0656243,0,41,0.044751,96.1363,73.9574,254.738,-8.97143,15,19,25,19,16,19,26,19,0
320,13,2,1,423.8,0,10642,4228,14870,0.0658005,0,40.973,0.0499673,152.533,0.0659613,0,40,0.0487821,137.596,74.9091,32.63,-7.72682,15,20,25,20,16,20,26,20,0
321,13,2,1,546.2,0,10642,4228,14870,0.0662662,0,40,0.04742,166.53,0.0656737,0,40.09,0.0472426,204.253,75.4329,197.733,-7.07712,15,21,25,21,16,21,26,21,0
322,13,2,1,668.6,0,10642,4228,14870,0.0660642,0,40.763,0.049548,258.672,0.0650577,0,40,0.0470711,164.62,74.892,-36.6268,-9.34567,15,22,25,22,16,22,26,22,0
