NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,,,,
NaI156,156,8,9,47.87,-29.16,-10.23,27.96,1200.33,0.0977,-264.556144,2.863716,9,28,21,44,,,,,,,,
NaI157,157,8,9,47.82,-25.75,-17.03,27.97,1202.02,0.0977,-234.37751,3.124242,9,29,21,45,,,,,,,,
NaI158,158,8,9,51.63,-25.99,-23.91,27.97,1193.39,0.0977,-441.744656,3.657024,12,8,20,8,,,,,,,,
NaI159,159,8,9,47.82,-17.03,-25.72,27.95,1204.43,0.0977,-343.993493,3.140393,9,31,21,47,,,,,,,,
NaI160,160,8,9,47.85,-10.24,-29.14,27.96,1191.71,0.0977,-274.81307,2.7939,10,0,21,48,,,,,,,,
NaI161,161,8,9,47.86,-3.41,-30.66,27.91,1195.4,0.0977,-355.149688,3.493728,10,1,21,49,,,,,,,,
NaI162,162,8,10,39.57,18.93,-25.76,38.69,1112.94,0.0977,-290.325525,3.155392,10,2,21,50,,,,,,,,
NaI163,163,8,10,39.61,25.75,-18.94,38.63,1190.7,0.0977,-406.437184,4.04238,10,3,21,51,,,,,,,,
NaI164,164,8,10,39.6,25.72,18.94,38.61,1194.43,0.0977,-333.696828,3.263733,10,4,21,52,,,,,,,,
NaI165,165,8,10,39.62,18.93,25.76,38.61,1189.3,0.0977,-362.321253,4.156767,10,5,21,53,,,,,,,,
NaI166,166,8,10,39.59,-18.93,25.76,38.65,1112.27,0.0977,-315.847725,3.3462,10,6,21,54,,,,,,,,
NaI167,167,8,10,39.54,-25.76,18.94,38.73,1190.69,0.0977,-399.178474,4.004949,10,7,21,55,,,,,,,,
NaI168,168,8,10,39.57,-25.74,-18.91,38.65,1195.9,0.0977,-294.494052,3.689304,10,8,21,56,,,,,,,,
NaI169,169,8,10,39.61,-18.9,-25.79,38.63,1190,0.0977,-357.350448,3.113374,10,9,21,57,,,,,,,,
NaI170,170,8,10,34.69,4.28,-26.97,39.45,1205.22,0.0977,-338.247268,3.345186,10,10,21,58,,,,,,,,
NaI171,171,8,10,36.76,12.07,-25.79,38.11,1193.45,0.0977,-353.601628,3.239166,10,11,21,59,,,,,,,,
NaI172,172,8,10,35.05,18.91,-18.91,38.12,1197.74,0.0977,-284.572605,2.943252,10,12,21,60,,,,,,,,
NaI173,173,8,10,36.76,25.79,-12.04,38.1,1198.3,0.0977,-422.632788,3.789093,10,13,21,61,,,,,,,,
NaI174,174,8,10,34.84,26.99,-4.35,39.27,1206.63,0.0977,-295.428816,3.029103,10,14,21,62,,,,,,,,
NaI175,175,8,10,34.8,26.98,4.33,39.32,1206,0.0977,-360.228325,3.232305,10,15,21,63,,,,,,,,
NaI176,176,8,10,36.72,25.8,12.04,38.17,1196.2,0.0977,-390.35704,3.62893,10,16,21,64,,,,,,,,
NaI177,177,8,10,35,18.89,18.93,38.18,1179.91,0.0977,-355.464828,3.519872,10,17,21,65,,,,,,,,
NaI178,178,8,10,36.78,12.07,25.81,38.11,1188.57,0.0977,-313.246986,3.375494,10,18,21,66,,,,,,,,
NaI179,179,8,10,34.86,4.3,26.99,39.23,1208.84,0.0977,-427.272222,3.182352,10,19,21,67,,,,,,,,
NaI180,180,8,10,34.92,-4.35,27,39.18,1210.48,0.0977,-331.139608,3.200967,10,20,21,68,,,,,,,,
NaI181,181,8,10,36.76,-12.08,25.79,38.12,1200.82,0.0977,-571.963248,5.530936,10,21,21,69,,,,,,,,
NaI182,182,8,10,34.99,-18.9,18.87,38.15,1193.32,0.0977,-319.728428,3.548787,10,22,21,70,,,,,,,,
NaI183,183,8,10,36.73,-25.8,12.05,38.15,1194.13,0.0977,-325.528629,2.732495,10,23,21,71,,,,,,,,
NaI184,184,8,10,34.91,-27,4.35,39.19,1209.11,0.0977,-408.32104,3.303324,10,24,21,72,,,,,,,,
NaI185,185,8,10,34.83,-26.98,-4.32,39.27,1211.14,0.0977,-294.692892,3.123232,10,25,21,73,,,,,,,,
