NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,b1,a1,,b2,a2,,,b new,a new
NaI74,74,8,6,78.19,22.14,30.19,7.83,1207.91,0.0977,-254.748935,3.33524,7,10,22,74,,,,,-256.013,3.352,74,-0.016,0.995,,,-254.748935,3.33524
NaI75,75,8,6,78.89,7.84,39.04,7.82,1205.69,0.0977,-306.719832,3.148544,7,11,22,75,,,,,-297.208,3.136,75,-8.323,1.004,,,-306.719832,3.148544
NaI76,76,8,6,78.86,-7.84,39,7.83,1207.84,0.0977,-295.467703,3.208205,7,12,22,76,,,,,-296.703,3.205,76,1.532,1.001,,,-295.467703,3.208205
NaI77,77,8,6,78.19,-22.18,30.19,7.83,1207.14,0.0977,-286.188941,3.327778,7,13,22,77,,,,,-297.451,3.358,77,8.585,0.991,,,-286.188941,3.327778
NaI78,78,8,6,78.2,-30.76,21.57,7.85,1206.22,0.0977,-356.7177,3.355035,7,14,22,78,,,,,-352.9,3.345,78,-2.759,1.003,,,-356.7177,3.355035
NaI79,79,8,6,78.29,-35.21,13.01,7.78,1207.13,0.0977,-419.80806,3.144528,7,15,22,79,,,,,-413.765,3.132,79,-4.388,1.004,,,-419.80806,3.144528
NaI80,80,8,6,78.29,-37.24,4.35,7.77,1202.71,0.0977,-343.42092,3.581822,7,16,22,80,,,,,-343.54,3.589,80,-0.568,0.998,,,-343.42092,3.581822
NaI81,81,8,6,78.24,-37.26,-4.37,7.81,1198.76,0.0977,-400.883224,3.387396,7,17,22,81,,,,,-403.694,3.401,81,1.196,0.996,,,-400.883224,3.387396
NaI82,82,8,6,78.27,-35.23,-12.97,7.8,1202.78,0.0977,-342.716842,3.644898,7,18,22,82,,,,,-347.462,3.678,82,1.618,0.991,,,-342.716842,3.644898
NaI83,83,8,6,78.3,-30.89,-21.51,7.8,1206.71,0.0977,-404.062073,3.357896,7,19,22,83,,,,,-406.309,3.368,83,1.028,0.997,,,-404.062073,3.357896
NaI84,84,8,6,78.21,-22.12,-30.17,7.81,1202.72,0.0977,-328.416996,3.522014,7,20,22,84,,,,,-334.556,3.554,84,3.128,0.991,,,-328.416996,3.522014
NaI85,85,8,6,78.86,-7.84,-38.98,7.83,1206.76,0.0977,-385.4122,3.160308,7,21,22,85,,,,,-388.2,3.173,85,1.235,0.996,,,-385.4122,3.160308
NaI86,86,8,7,70.93,7.74,-38.99,13.75,1204.69,0.0977,-303.915072,3.219072,7,22,22,86,,,,,-305.982,3.232,86,0.843,0.996,,,-303.915072,3.219072
NaI87,87,8,7,69.78,21.96,-30.15,13.74,1205.58,0.0977,-397.70624,3.305855,7,23,22,87,,,,,-358.816,3.257,87,-33.508,1.015,,,-397.70624,3.305855
NaI88,88,8,7,69.84,30.64,-21.51,13.74,1206.81,0.0977,-359.336355,3.20716,7,24,22,88,,,,,-371.043,3.256,88,6.141,0.985,,,-359.336355,3.20716
NaI89,89,8,7,69.93,35.14,-12.99,13.69,1205.36,0.0977,-350.882992,3.415024,7,25,22,89,,,,,-373.042,3.499,89,13.206,0.976,,,-350.882992,3.415024
NaI90,90,8,7,69.84,37.11,-4.37,13.72,1206.27,0.0977,-301.13154,3.34553,7,26,22,90,,,,,-331.782,3.449,90,20.697,0.97,,,-301.13154,3.34553
NaI91,91,8,7,69.84,37.12,4.3,13.72,1206.36,0.0977,-336.773336,3.216928,7,27,22,91,,,,,-342.972,3.256,91,2.083,0.988,,,-336.773336,3.216928
NaI92,92,8,7,69.88,35.04,12.92,13.68,1205.5,0.0977,-310.192951,3.089169,7,28,22,92,,,,,-326.371,3.149,92,9.977,0.981,,,-310.192951,3.089169
NaI93,93,8,7,69.88,30.64,21.55,13.72,1209.21,0.0977,-396.253392,3.110508,7,29,22,93,,,,,-396.402,3.123,93,-1.437,0.996,,,-396.253392,3.110508
NaI94,94,8,7,69.81,21.93,30.21,13.73,1207.18,0.0977,-484.876515,3.319281,7,30,22,94,,,,,-497.345,3.363,94,6.003,0.987,,,-484.876515,3.319281
NaI95,95,8,7,70.9,7.85,38.97,13.76,1209.35,0.0977,-373.835949,3.350646,7,31,22,95,,,,,-371.051,3.354,95,-3.156,0.999,,,-373.835949,3.350646
NaI96,96,8,7,70.9,-7.8,38.97,13.76,1204.97,0.0977,-275.465704,3.320352,8,0,22,96,,,,,-266.963,3.294,96,-6.367,1.008,,,-275.465704,3.320352
NaI97,97,8,7,69.79,-22,30.18,13.75,1204.28,0.0977,-206.67796,3.272856,8,1,22,97,,,,,-215.01,3.286,97,7.472,0.996,,,-206.67796,3.272856
NaI98,98,8,7,69.89,-30.68,21.55,13.73,1203.81,0.0977,-179.010912,3.072842,8,2,22,98,,,,,-184.544,3.079,98,5.164,0.998,,,-179.010912,3.072842
NaI99,99,8,7,69.85,-35.14,12.95,13.74,1203.84,0.0977,-198.132376,3.476034,8,3,22,99,,,,,-197.312,3.483,99,-1.215,0.998,,,-198.132376,3.476034
NaI100,100,8,7,69.83,-37.16,4.34,13.74,1202.65,0.0977,-205.477696,3.437696,8,4,22,100,,,,,-200.424,3.424,100,-4.252,1.004,,,-205.477696,3.437696
NaI101,101,8,7,69.88,-37.18,-4.33,13.71,1206.58,0.0977,-388.60737,3.397161,8,5,22,101,,,,,-386.79,3.387,101,-0.657,1.003,,,-388.60737,3.397161
NaI102,102,8,7,69.92,-35.21,-12.96,13.72,1203.01,0.0977,-314.987614,3.266336,8,6,22,102,,,,,-329.154,3.296,102,11.204,0.991,,,-314.987614,3.266336
NaI103,103,8,7,69.91,-30.67,-21.57,13.71,1205.75,0.0977,-300.356887,3.395782,8,7,22,103,,,,,-301.371,3.406,103,0.11,0.997,,,-300.356887,3.395782
NaI104,104,8,7,69.78,-22.03,-30.12,13.74,1204.43,0.0977,-217.055968,3.515016,8,8,22,104,,,,,-216.484,3.508,104,-0.139,1.002,,,-217.055968,3.515016
NaI105,105,8,7,70.89,-7.88,-38.98,13.78,1207.84,0.0977,-259.126176,3.393788,8,9,22,105,,,,,-257.608,3.404,105,-2.291,0.997,,,-259.126176,3.393788
NaI106,106,8,8,59.89,3.42,-35.14,20.47,1202.88,0.0977,-327.744663,3.15684,8,10,22,106,,,,,-324.337,3.16,106,-3.732,0.999,,,-327.744663,3.15684
NaI107,107,8,8,59.96,10.23,-33.98,20.52,1202.76,0.0977,-238.740743,3.139136,8,11,22,107,,,,,-224.743,3.136,107,-13.773,1.001,,,-238.740743,3.139136
NaI108,108,8,8,59.86,17.05,-31.04,20.56,1203.99,0.0977,-330.636572,3.271548,8,12,22,108,,,,,-344.602,3.318,108,9.141,0.986,,,-330.636572,3.271548
NaI109,109,8,8,59.78,23.89,-25.98,20.56,1188.56,0.0977,-340.075425,3.677007,8,13,22,109,,,,,-316.675,3.637,109,-19.917,1.011,,,-340.075425,3.677007
NaI110,110,8,8,59.83,30.97,-17.07,20.56,1189.93,0.0977,0,0,8,14,22,110,,,,,0,0,110,0,0,,,0,0
NaI111,111,8,8,59.76,33.78,-10.24,20.58,1182.96,0.0977,0,0,8,15,22,111,,,,,0,0,111,0,0,,,0,0
NaI112,112,8,8,59.68,34.96,-3.42,20.54,1191.09,0.0977,0,0,8,16,21,0,,,,,0,0,112,0,0,,,0,0
NaI113,113,8,8,59.78,35.03,3.46,20.5,1187.69,0.0977,0,0,8,17,21,1,,,,,0,0,113,0,0,,,0,0
